type,pts,pos,tm,opp,id,q,init
1f1,2,2,NYK,BOS,20111225BOSNYK,q1,1
1f1,1,1,BOS,NYK,20111225BOSNYK,q1,0
2f1,0,2,NYK,BOS,20111225BOSNYK,q2,1
2f1,2,2,BOS,NYK,20111225BOSNYK,q2,0
2f1,2,2,NYK,BOS,20111225BOSNYK,q3,1
2f1,2,1,BOS,NYK,20111225BOSNYK,q3,0
2f1,3,2,CHI,LAL,20111225CHILAL,q1,1
2f1,0,1,LAL,CHI,20111225CHILAL,q1,0
1f1,6,3,CHI,LAL,20111225CHILAL,q2,1
1f1,0,3,LAL,CHI,20111225CHILAL,q2,0
1f1,2,2,LAL,CHI,20111225CHILAL,q3,1
1f1,0,1,CHI,LAL,20111225CHILAL,q3,0
2f1,4,2,GSW,LAC,20111225LACGSW,q1,1
2f1,2,2,LAC,GSW,20111225LACGSW,q1,0
2f1,0,2,GSW,LAC,20111225LACGSW,q2,1
2f1,2,1,LAC,GSW,20111225LACGSW,q2,0
2f1,2,2,LAC,GSW,20111225LACGSW,q3,1
2f1,0,1,GSW,LAC,20111225LACGSW,q3,0
2f1,2,2,MIA,DAL,20111225MIADAL,q1,1
2f1,2,1,DAL,MIA,20111225MIADAL,q1,0
2f1,4,3,MIA,DAL,20111225MIADAL,q2,1
2f1,3,2,DAL,MIA,20111225MIADAL,q2,0
1f1,0,2,DAL,MIA,20111225MIADAL,q3,1
1f1,2,1,MIA,DAL,20111225MIADAL,q3,0
1f1,0,2,ORL,OKC,20111225ORLOKC,q1,1
1f1,3,1,OKC,ORL,20111225ORLOKC,q1,0
2f1,2,3,OKC,ORL,20111225ORLOKC,q2,1
2f1,0,2,ORL,OKC,20111225ORLOKC,q2,0
1f1,2,2,ORL,OKC,20111225ORLOKC,q3,1
1f1,2,1,OKC,ORL,20111225ORLOKC,q3,0
1f1,3,1,GSW,CHI,20111226CHIGSW,q1,1
1f1,2,1,CHI,GSW,20111226CHIGSW,q1,0
2f1,2,2,GSW,CHI,20111226CHIGSW,q2,1
2f1,2,2,CHI,GSW,20111226CHIGSW,q2,0
2f1,0,2,GSW,CHI,20111226CHIGSW,q3,1
2f1,0,1,CHI,GSW,20111226CHIGSW,q3,0
2f1,6,2,DEN,DAL,20111226DENDAL,q1,1
2f1,0,1,DAL,DEN,20111226DENDAL,q1,0
2f1,2,2,DEN,DAL,20111226DENDAL,q2,1
2f1,0,1,DAL,DEN,20111226DENDAL,q2,0
1f1,2,2,DEN,DAL,20111226DENDAL,q3,1
1f1,2,1,DAL,DEN,20111226DENDAL,q3,0
2f1,2,2,IND,DET,20111226DETIND,q1,1
2f1,0,1,DET,IND,20111226DETIND,q1,0
1f1,2,1,IND,DET,20111226DETIND,q2,1
1f1,0,1,DET,IND,20111226DETIND,q2,0
2f1,2,2,DET,IND,20111226DETIND,q3,1
2f1,2,2,IND,DET,20111226DETIND,q3,0
2f1,1,2,ORL,HOU,20111226HOUORL,q1,1
2f1,0,2,HOU,ORL,20111226HOUORL,q1,0
2f1,2,2,ORL,HOU,20111226HOUORL,q2,1
2f1,2,1,HOU,ORL,20111226HOUORL,q2,0
2f1,4,3,HOU,ORL,20111226HOUORL,q3,1
2f1,0,2,ORL,HOU,20111226HOUORL,q3,0
1f1,3,1,LAL,SAC,20111226LALSAC,q1,1
1f1,2,1,SAC,LAL,20111226LALSAC,q1,0
2f1,0,3,LAL,SAC,20111226LALSAC,q2,1
2f1,4,2,SAC,LAL,20111226LALSAC,q2,0
2f1,0,2,LAL,SAC,20111226LALSAC,q3,1
2f1,2,1,SAC,LAL,20111226LALSAC,q3,0
1f1,0,2,MEM,SAS,20111226MEMSAS,q1,1
1f1,0,1,SAS,MEM,20111226MEMSAS,q1,0
2f1,2,2,MEM,SAS,20111226MEMSAS,q2,1
2f1,1,2,SAS,MEM,20111226MEMSAS,q2,0
1f1,2,2,MEM,SAS,20111226MEMSAS,q3,1
1f1,2,1,SAS,MEM,20111226MEMSAS,q3,0
2f1,4,2,MIL,CHA,20111226MILCHA,q1,1
2f1,0,1,CHA,MIL,20111226MILCHA,q1,0
2f1,3,2,MIL,CHA,20111226MILCHA,q2,1
2f1,2,1,CHA,MIL,20111226MILCHA,q2,0
2f1,0,2,MIL,CHA,20111226MILCHA,q3,1
2f1,2,1,CHA,MIL,20111226MILCHA,q3,0
1f1,0,1,NJN,WAS,20111226NJNWAS,q1,1
1f1,0,1,WAS,NJN,20111226NJNWAS,q1,0
2f1,2,1,WAS,NJN,20111226NJNWAS,q2,1
2f1,0,1,NJN,WAS,20111226NJNWAS,q2,0
1f1,0,1,NJN,WAS,20111226NJNWAS,q3,1
1f1,0,1,WAS,NJN,20111226NJNWAS,q3,0
1f1,2,2,PHX,NOH,20111226NOHPHX,q1,1
1f1,2,2,NOH,PHX,20111226NOHPHX,q1,0
2f1,2,2,NOH,PHX,20111226NOHPHX,q2,1
2f1,3,2,PHX,NOH,20111226NOHPHX,q2,0
2f1,0,2,PHX,NOH,20111226NOHPHX,q3,1
2f1,0,1,NOH,PHX,20111226NOHPHX,q3,0
2f1,3,2,OKC,MIN,20111226OKCMIN,q1,1
2f1,0,2,MIN,OKC,20111226OKCMIN,q1,0
2f1,4,2,OKC,MIN,20111226OKCMIN,q2,1
2f1,0,2,MIN,OKC,20111226OKCMIN,q2,0
1f1,2,2,MIN,OKC,20111226OKCMIN,q3,1
1f1,0,1,OKC,MIN,20111226OKCMIN,q3,0
2f1,0,1,POR,PHI,20111226PHIPOR,q1,1
